5.7.26;5;7;26;CVE-2019-3822;Modified;libcurl versions from 7.36.0 to before 7.64.0 are vulnerable to a stack-based buffer overflow. The function creating an outgoing NTLM type-3 header (`lib/vauth/ntlm.c:Curl_auth_create_ntlm_type3_messa...
8.0.15;8;0;15;CVE-2019-3822;Modified;libcurl versions from 7.36.0 to before 7.64.0 are vulnerable to a stack-based buffer overflow. The function creating an outgoing NTLM type-3 header (`lib/vauth/ntlm.c:Curl_auth_create_ntlm_type3_messa...
5.7.27;5;7;27;CVE-2019-5436;Modified;A heap buffer overflow in the TFTP receiving code allows for DoS or arbitrary code execution in libcurl versions 7.19.4 through 7.64.1.
8.0.17;8;0;17;CVE-2019-5436;Modified;A heap buffer overflow in the TFTP receiving code allows for DoS or arbitrary code execution in libcurl versions 7.19.4 through 7.64.1.
5.7.27;5;7;27;CVE-2019-5443;Modified;A non-privileged user or program can put code and a config file in a known non-privileged path (under C:/usr/local/) that will make curl <= 7.65.1 automatically run the code (as an openssl "engine") o...
8.0.17;8;0;17;CVE-2019-5443;Modified;A non-privileged user or program can put code and a config file in a known non-privileged path (under C:/usr/local/) that will make curl <= 7.65.1 automatically run the code (as an openssl "engine") o...
5.7.28;5;7;28;CVE-2019-5481;Modified;Double-free vulnerability in the FTP-kerberos code in cURL 7.52.0 to 7.65.3.
8.0.18;8;0;18;CVE-2019-5481;Modified;Double-free vulnerability in the FTP-kerberos code in cURL 7.52.0 to 7.65.3.
5.7.28;5;7;28;CVE-2019-5482;Modified;Heap buffer overflow in the TFTP protocol handler in cURL 7.19.4 to 7.65.3.
8.0.18;8;0;18;CVE-2019-5482;Modified;Heap buffer overflow in the TFTP protocol handler in cURL 7.19.4 to 7.65.3.
5.7.34;5;7;34;CVE-2019-2897;Modified;Vulnerability in the Oracle Business Intelligence Enterprise Edition product of Oracle Fusion Middleware (component: Analytics Actions). Supported versions that are affected are 12.2.1.3.0 and 12.2.1....
8.0.25;8;0;25;CVE-2019-2897;Modified;Vulnerability in the Oracle Business Intelligence Enterprise Edition product of Oracle Fusion Middleware (component: Analytics Actions). Supported versions that are affected are 12.2.1.3.0 and 12.2.1....
5.7.35;5;7;35;CVE-2019-10219;Modified;A vulnerability was found in Hibernate-Validator. The SafeHtml validator annotation fails to properly sanitize payloads consisting of potentially malicious code in HTML comments and instructions. This...
8.0.26;8;0;26;CVE-2019-10219;Modified;A vulnerability was found in Hibernate-Validator. The SafeHtml validator annotation fails to properly sanitize payloads consisting of potentially malicious code in HTML comments and instructions. This...
8.0.23;8;0;23;CVE-2020-28196;Modified;MIT Kerberos 5 (aka krb5) before 1.17.2 and 1.18.x before 1.18.3 allows unbounded recursion via an ASN.1-encoded Kerberos message because the lib/krb5/asn.1/asn1_encode.c support for BER indefinite le...
5.7.32;5;7;32;CVE-2020-1971;Modified;The X.509 GeneralName type is a generic type for representing different types of names. One of those name types is known as EDIPartyName. OpenSSL provides a function GENERAL_NAME_cmp which compares di...
8.0.22;8;0;22;CVE-2020-1971;Modified;The X.509 GeneralName type is a generic type for representing different types of names. One of those name types is known as EDIPartyName. OpenSSL provides a function GENERAL_NAME_cmp which compares di...
5.7.32;5;7;32;CVE-2021-23840;Modified;Calls to EVP_CipherUpdate, EVP_EncryptUpdate and EVP_DecryptUpdate may overflow the output length argument in some cases where the input length is close to the maximum permissable length for an intege...
8.0.22;8;0;22;CVE-2021-23840;Modified;Calls to EVP_CipherUpdate, EVP_EncryptUpdate and EVP_DecryptUpdate may overflow the output length argument in some cases where the input length is close to the maximum permissable length for an intege...
5.7.32;5;7;32;CVE-2021-23841;Modified;The OpenSSL public API function X509_issuer_and_serial_hash() attempts to create a unique hash value based on the issuer and serial number data contained within an X509 certificate. However it fails t...
